Date,Split,Time,Moving Time,Distance,Elevation Gain,Elevation Loss,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories,
15-JUL-2013,Summary,47:33.4,47:28.0,5.09,111,120,9:21,9:20,7:07,149,168,307,
19-JUL-2013,Summary,48:49.7,48:05.0,4.90,195,203,9:58,9:49,7:16,164,180,370,
20-JUL-2013,Summary,1:46:41.8,1:31:37.0,4.36,590,599,24:30,21:02,9:12,350,
24-JUL-2013,Summary,48:24.5,46:36.0,5.01,41,35,9:40,9:19,3:46,155,172,332,
25-JUL-2013,Summary,51:50.0,14:05.0,0.73,0,0,--:--,19:13,7:09,84,
26-JUL-2013,Summary,28:40.5,28:38.0,3.18,32,34,9:00,9:00,2:46,169,178,225,
29-JUL-2013,Summary,47:24.1,46:24.0,4.92,184,190,9:38,9:26,7:27,158,179,345,
03-AUG-2013,Summary,54:51.1,30:48.0,2.85,2,0,19:13,10:48,4:35,130,172,258,
05-AUG-2013,Summary,48:56.1,47:47.0,4.92,206,210,9:57,9:43,7:40,165,184,374,
